BldgID,Latitude,Longitude
NJBF000081138,39.417703,-74.503608
NJBF000080830,39.41651,-74.504075
NJBF000056920,39.329538,-74.50953
NJBF000058135,39.331766,-74.504367
NJBF000063328,39.341427,-74.508814
NJBF000057717,39.331046,-74.503383
NJBF000057881,39.331309,-74.503641
NJBF000073980,39.384292,-74.524924
NJBF000058699,39.332776,-74.492992
NJBF000058530,39.332478,-74.503148
NJBF000060130,39.335454,-74.5075
NJBF000060069,39.335345,-74.507544
NJBF000060706,39.336426,-74.506874
NJBF000056570,39.328776,-74.500424
NJBF000060242,39.335641,-74.496189
NJBF000056574,39.328783,-74.500698
NJBF000060697,39.336414,-74.488345
NJBF000058689,39.33276,-74.494265
NJBF000066645,39.350341,-74.486788
